"count","results__id","results__name","results__description","results__max_attempts","results__value","results__category","results__type","results__state","results__requirements","results__requirements__prerequisites__-"
"123","20","Descifrando sin descifrar","Las instrucciones del presente reto están en el archivo adjunto, la resolución deberá ser subida a un repositorio público(github, gitlab) y escribir el link en el siguiente recuadro.","0","0","Programación","manual_verification","hidden","null",""
"","21","Automatizacion de IoCs","Las instrucciones y la información necesaria del presente reto están como archivos adjuntos, la resolución deberá ser subida a un storage publico(dropbox, google dirve) y escribir el link de descarga en el siguiente recuadro.","0","0","Programación","manual_verification","hidden","null",""
"","22","Evaluación de Estado de DNS de Zona","Las instrucciones del presente reto están en el archivo adjunto, la resolución deberá ser subida a un repositorio público(github, gitlab) y escribir el link en el siguiente recuadro.","0","0","Programación","manual_verification","hidden","null",""
"","23","Gestión Firmas Ec","Las instrucciones del presente reto están en el archivo adjunto, la resolución deberá ser subida a un repositorio público(github, gitlab) y escribir el link en el siguiente recuadro.\r\nhttps://www.firmadigital.gob.ec/informacion-para-desarrolladores/","0","0","Programación","manual_verification","hidden","null",""
"","24","Detectando Trafico de Red Malicioso con Machine Learning","Las instrucciones del presente reto están en el archivo adjunto, la resolución deberá ser subida a un repositorio público(github, gitlab) y escribir el link en el siguiente recuadro.","0","0","Programación","manual_verification","hidden","null",""
"","25","El Pescador bueno","Las instrucciones del presente reto están en el archivo adjunto, la resolución deberá ser subida a un repositorio publico(githuh, gitlab) y escribir el link en el siguiente recuadro.","0","0","Programación","manual_verification","hidden","null",""
"","26","El Pescador malo","Las instrucciones del presente reto están en el archivo adjunto, la resolución deberá ser subida a un repositorio publico(githuh, gitlab) y escribir el link en el siguiente recuadro.","0","0","Programación","manual_verification","hidden","null",""
"","27","Agente Reto 1.0","El reto se centra como escenario en el descubrimiento de un cargamento de droga que partirá de Colombia para Ecuador, los grupos de inteligencia de ambos países filtran a un agente en el grupo de narcotraficantes, pero este al sentirse descubierto envía un mensaje al grupo de inteligencia, el cual contiene un audio y un texto aparentemente sin sentido.\r\nSe de un cargamento, que dejaron en una camioneta, pero desconozco la marca y ubicación de la misma.\r\nAl parecer el audio es la clave de todo, mientras espiaba logre escuchar los siguientes términos:\r\n\r\nSSTV\r\n\r\n        - La clave esta en el trasteo en la esquina de la casa de Piedra\r\n        - La imagen del regalo, contiene la placa del vehículo donde JR dejo el cargamento\r\n\r\nDebemos encontrar el propietario, urgente de la camioneta\r\n\r\nFormato: flag{bandera_a_buscar}\r\n","0","50","Osint - Agente","standard","hidden","null",""
"","28","Agente Reto 2.0","Metadatos en Imagenes \r\n\r\nFormato: flag{coordenadas en DMS}","0","50","Osint - Agente","standard","hidden","null",""
"","29","Agente Reto 3.0","Navegacion Google Street \r\n\r\nformato: flag{clave}","0","50","Osint - Agente","standard","hidden","null",""
"","30","Agente Reto 4.0","Descomprimir Fichero \r\n\r\nformato: flag{imagen}","0","50","Osint - Agente","standard","hidden","null",""
"","31","Agente Reto 5.0","Analisis Forense Imagen \r\n\r\nfomato: flag{herramienta}","0","50","Osint - Agente","standard","hidden","null",""
"","32","Agente Reto 6.0","Obtencion de Placa Vehiculo ","0","50","Osint - Agente","standard","hidden","null",""
"","33","Agente Reto 7.0","Informacion Adicional a la Placa \r\n\r\nformato: flag{nombre propiertario}","0","50","Osint - Agente","standard","hidden","null",""
"","34","Debug","Ayuda al equipo de seguridad a identificar la flag contenida en el archivo .exe adjunto. Nope, ni Virus total ni Hybrid-analysis son útiles en este caso","0","500","MISC","standard","hidden","null",""
"","35","Reto 1.0","El reto se centra en un pequeño video publicado en una red social de una persona, la idea el investigador reúna la máxima información posible, a partir de toda la información que encuentre:\r\nPara ello, se debe encontrar una persona en Facebook, con los siguientes parámetros:\r\n\r\n        - Vive en Colombia, en la ciudad de Pereira,\r\n        - Estudia en la Universidad de Caldas\r\n        - En la foto de perfil, envía un beso lo mismo que la foto principal\r\n				\r\nPerfil de Facebook.\r\nFormato: flag{id_profile_facebook}\r\n","0","50","Osint - Besos","standard","hidden","null",""
"","36","Reto 2.0","Hallar Perfil de Twitter.\n\nFormato: flag{}\n","0","50","Osint - Besos","standard","hidden","null",""
"","37","Reto 3.0","Hallar Perfil de Instagram.\n\nFormato: flag{}\n","0","50","Osint - Besos","standard","hidden","null",""
"","38","Reto 4.0","Hallar Perfil de TikTok.\n\nFormato: flag{}\n","0","50","Osint - Besos","standard","hidden","null",""
"","39","Reto 5.0","Descargar Video TikTok.\r\n\r\nFormato: flag{codigo}\r\n","0","50","Osint - Besos","standard","hidden","null",""
"","40","Reto 6.0","Extraer Fotogramas.\n\nFormato: flag{}\n","0","50","Osint - Besos","standard","hidden","null",""
"","41","Reto 7.0","Hallar Iglesia 1.0.\n\nFormato: flag{}\n","0","50","Osint - Besos","standard","hidden","null",""
"","42","Reto 8.0","Encontrar Notas y Coordenadas.\r\n\r\nFormato: flag{notaenminusculasinespacio,coordenada1,coordenada2}\r\nTodo en minusculas, ni tildes y sin espacios. Notese que no hay espacio ni en las comas.","0","50","Osint - Besos","standard","hidden","null",""
"","43","Reto 9.0","Hallar Nombre de Torre.\r\n\r\nFormato: flag{}\r\nTodo en minuscula","0","50","Osint - Besos","standard","hidden","null",""
"","44","Reto 10.0","Hallar Iglesia 2.\r\n\r\nFormato: flag{}\r\nTodo en minusculas.","0","50","Osint - Besos","standard","hidden","null",""
"","45","Reto 11.0","Hallar Protagonistas.\r\n\r\nFormato: flag{}\r\nTodo en minuscula\r\n","0","50","Osint - Besos","standard","hidden","null",""
"","46","Reto 12.0","Hallar Hotel.\r\n\r\nFormato: flag{Nombre del hotal}\r\nTodo en minuscula","0","50","Osint - Besos","standard","hidden","null",""
"","47","Reto 13.0","Hallar Carteles de Ruta.\r\n\r\nFormato: flag{}\r\n\r\nTodo en minuscula","0","50","Osint - Besos","standard","hidden","null",""
"","48","Reto 14.0","Hallar punto de Parada.\r\n\r\nFormato: flag{respuesta1,respuesta2}\r\n \r\n Formato: todo unido y la coma sin espacio. ","0","50","Osint - Besos","standard","hidden","null",""
"","49","Reto 15.0","Hallar lugar de Coordenadas.\r\n\r\nFormato: flag{RespuestaEnMinuscula}\r\n","0","50","Osint - Besos","standard","hidden","null",""
"","50","Parame ZONA","Empresa.lab nos ha solicitado ejecutar una auditoría de seguridad. La enumeracion es un proceso fundamental en un Penetration Testing por lo que cada servicio debe ser investigado. La empresa se encuentra publicada en la IP 192.168.70.10. Enumera sus servicios!. Tal vez ayude colocar como DNS primario la ip 192.168.70.10\n\nFormato: flag{FLAG}\n","0","150","Hack the Corp","standard","hidden","null",""
"","51","Sitios Web Seguros","Empresa.lab es innovadora, los sitios web expuestos son considerados extremadamente seguros. Puedes probar lo contrario? - (Las credenciales de acceso no dan puntos)\n\nFormato: flag{FLAG}\n","0","250","Hack the Corp","standard","hidden","null",""
"","52","Mi Primera Shell","Con tu primera shell, escala privilegios a root (flag en directorio /root)\n\nFormato: flag{FLAG}\n","0","450","Hack the Corp","standard","hidden","null",""
"","53","Update","La empresa al parecer realiza actualizaciones periódicas de su software. Estudia este proceso y gana una nueva shell (no es necesario escalar privilegios a root, pero si lo haces OK)\n\nFormato: flag{FLAG}\n","0","500","Hack the Corp","standard","hidden","null",""
"","54","Alto VOLUMEN","Misty se ha dado cuenta que la IP que termina en 123 (en su mismo segmento de red) tiene información muy importante de la empresa en un directorio compartido. Esto en malas manos sería peligroso (Flag es el pass descifrado).\n\nFormato: flag{FLAG}\n","0","500","Hack the Corp","standard","hidden","null",""
"","55","Reto Nada es imposible","No obligar numeros enteros 192.168.50.10","0","350","MISC","standard","hidden","null",""
"","56","Reto Agente Bond lo necesitamos","Agente 007 hemos recibido una transmisión de nuestro infiltrado el agente Robot36 la cual es un audio que no logramos identificar, su misión es encontrar el mensaje oculto.\r\n\r\nFormato: flag{bandera}","0","50","MISC","standard","hidden","null",""
"","57","Reto Ayuda Elliot","Elliot...Elliot contesta.. soy Darlene!! tengo informacion importante para destruir ECORP, te envio un archivo comprimido que solo tu con tu informacion personal puedes acceder.\r\nNombre: Elliot\r\nApellido: Alderson\r\nNickname: mr.robot\r\nFecha de nacimiento: 21/02/1988\r\n\r\nFLAG: flag{palabra_palabra}\r\n","0","150","MISC","standard","hidden","null",""
"","58","Reto Whoami","He perdido la memoria temporalmente, lo unico que recuerdo es que mi vecino es un aficionado a las computadoras que me encargo que cuide de su pez cuando el no estaba, recuerdo que usa chompa con capucha negra, ¿Quien soy?","0","100","MISC","standard","hidden","null",""
"","59","Reto El dolor de diente..","Necesitamos tu ayuda encontrando una camara de un consultorio odontologico, los datos que tenemos son los siguientes:\n** La camara esta en Quito-Ecuador.\n** El puerto de la camara es el 8888.\n** El producto/marca es 'GoAhead-Webs httpd'\nLa flag sera la IP publica de ese local, trata de no encontrar el local cerrado. ""\n","0","200","MISC","standard","hidden","null",""
"","60","Reto Espacio Exterior","Un satelite ha recibido un mensaje del espacio exterior, nuestros tecnicos lo han analizado pero al parecer esta vacio, puedes encontrar el mensaje oculto? ","0","150","MISC","standard","hidden","null",""
"","61","Reto La lista de compras","Hemos capturado a un delincuente que intentaba robar un banco, en su bolsillo se encontre una lista de compras que pensamos tiene un codigo secreto por el cual se comunica con su banda, puedes ayudarnos a encontrar el mensaje? ","0","150","MISC","standard","hidden","null",""
"","62","Reto Las 30 vueltas","Antes de ser capturado nuestro informante nos dijo lo siguiente: ""Para llegar a la base 64 debes dar 30 vueltas seguidas"" ","0","200","MISC","standard","hidden","null",""
"","63","Reto ¿Que esconden los cybros?","El team de Cybros by Artics encontre un hotel genial para sus vacaciones ¿Que dice en el edificio? \r\n\r\nFlag: flag{nombre edificio}","0","100","MISC","standard","hidden","null",""
"","64","Reto Maquina infectada con ransomware 1","Direccion IP del atacante?\r\n\r\nFile: https://nc.campeonatociberseguridad.ec:44301/index.php/s/GdmsqACg7xSwApf\r\n\r\nFormato: flag{FLAG}\r\n","0","150","Ransomware","standard","hidden","null",""
"","65","Reto Maquina infectada con ransomware 2","Usuario que ejecuto el ransomware?\n\nFormato: flag{FLAG}\n","0","150","Ransomware","standard","hidden","null",""
"","66","Reto Maquina infectada con ransomware 3","""Fecha y hora de la infeccion del ransomware? ""\r\n\r\nFormato: flag{dd/mm/aaaa hh:mm:ss}\r\n","0","150","Ransomware","standard","hidden","null",""
"","67","Reto Maquina infectada con ransomware 4","Hash del ramsomware?\r\n\r\nFormato: flag{FLAG}\r\n","0","150","Ransomware","standard","hidden","null",""
"","68","Reto Obteniendo password","Cual es la password de administrador que fue comprometida?\n\nFormato: flag{FLAG}\n","0","150","MISC","standard","hidden","null",""
"","69","Reto Encuentra el Secreto 1","Link: https://192.168.70.30:1001\n\nFormato : flag{FLAG} \n","0","250","MISC","standard","hidden","null",""
"","70","Reto Encuentra el Secreto 2","Las 7 primeras palabras! ","0","250","MISC","standard","hidden","null",""
"","71","Reto Como en los viejos Tiempos!!!","Enviame un mensaje \n\nFormato: flag{FLAG}\n","0","150","MISC","standard","hidden","null",""
"","72","Reto Cyber-Red","Vulnerabilidad WEB\r\nURL: http://192.168.90.20\r\n\r\n2 flags user - root\r\n\r\nFormato: flag{FLAG}\r\n","0","300","MISC","standard","hidden","null",""
"","73","Reto Cesar codificando con numeros de la suerte","A Cesar le encanta hacer desorden y es fanatico de los numeros de la suerte. Cesar esta intentando enviar un mensaje a sus aliados. ¿Crees que lo puedes encontrar?  ","0","300","MISC","standard","hidden","null",""
"","74","Reto Infectado (Usuario)","El sysadmin del hospital fue diagnosticado como COVID positivo y tomare un descanso, podras aprovechar esta ausencia para infiltrarte en el sistema hospitalario y saber si nos estan diciendo la verdad sobre la enfermedad?.\nIp: 192.168.60.20\n\nFormat: flag{FLAG}\n","0","250","MISC","standard","hidden","null",""
"","75","Reto Infectado (Root)","El sysadmin del hospital fue diagnosticado como COVID positivo y tomare un descanso, podras aprovechar esta ausencia para infiltrarte en el sistema hospitalario y saber si nos estan diciendo la verdad sobre la enfermedad?\n\nFormat: flag{FLAG}\n","0","400","MISC","standard","hidden","","74"
"","76","Reto Pescador (Usuario)","Este reto evaluare tu habilidad para pescar. Adelante y suerte!!.\r\nIp: 192.168.60.10\r\n\r\nFormato: flag{FLAG}\r\n\r\n**Nota: Conexión hacia la VPN ""El Pescador""**\r\nPara poder acceder a este servidor, es necesario que se conecte a otra VPN que se adjunta en este reto.\r\nEstas son las credenciales de la VPN.\r\n* usuario: elpescador\r\n* clave: pescador123","0","250","MISC","standard","hidden","null",""
"","77","Reto Pescador (Administrator)","Este reto evaluare tu habilidad para pescar. Adelante y suerte!!.\r\n\r\nFormato: flag{FLAG}\r\n\r\n**Nota: Conexión hacia la VPN ""El Pescador""**\r\nPara poder acceder a este servidor, es necesario que se conecte a otra VPN que se adjunta en este reto.\r\nEstas son las credenciales de la VPN.\r\n* usuario: elpescador\r\n* clave: pescador123","0","400","MISC","standard","hidden","","76"
"","78","Reto Sin SALT","Puedes decifrarlo? ","0","150","MISC","standard","hidden","null",""
"","79","Reto APK Vulnerable","Averigua la clave correcta para encontrar el flag ","0","400","MISC","standard","hidden","null",""
"","80","Reto Cual es mi regalo?","Analiza el archivo para encontrar la bandera ","0","200","MISC","standard","hidden","null",""
"","81","Reto Que intentas decirme?","Analiza el archivo para encontrar la bandera ","0","200","MISC","standard","hidden","null",""
"","82","Reto DEVNET 1","Tenemos un nuevo ingeniero que propusó algunas direcciones IP para implementar nuestra red, pero creemos que tuvo problemas con la generación.                \r\n\r\nPara cada par de direcciones IP y su subred, determine si la dirección IP pertenece a la subred.\r\n\r\nProporcione el recuento total de direcciones IP validas en la subred.\r\n\r\n**Formato de bandera:  flag{# de direcciones IP válidas} **\r\n\r\nEjemplo: flag{1}\r\n\r\nFormato de Archivo: Dirección IP, Subred.","0","150","MISC","standard","hidden","null",""
"","83","Reto DEVNET 2","Tenemos algunos incidentes de seguridad en nuestra red corporativa y nos pasaron un documento con algunas direcciones IP, pero para poder analizar los incidentes, es necesario segregar las IPs en públicas y en privadas.\r\n\r\nProporcione el recuento total de direcciones IPs públicas, seguido de las IPs privadas.\r\n\r\n**Formato de bandera: flag{# de direcciones IPs Públicas-# de direcciones IPs Privadas}**\r\n\r\nEjemplo: flag{1-1}\r\n\r\n**Nota: **\r\n        - No se deben contabilizar las IPs que son catalogadas para uso de laboratorio o documentación.\r\n","0","150","MISC","standard","hidden","null",""
"","84","GitsECops","La empresa LightiCorp S.A tiene un error en su código fuente que reposa en github, últimamente se han reportado alteraciones en el código levantando sospechas de posibles vulnerabilidades. Su trabajo si es que deciden aceptarlo, es revisar ese código y posteriormente intentar compilar la aplicación bajo un esquema de docker y con la ayuda de jenkins cubriendo puntos adicionales de seguridad con sonarcloud.\r\n\r\nIngresa al repo y empieza a encontrar el error en el git mencionado, al tener la primera parte de la flag deberás generar un pipeline de CI/CD, con un stage apuntando a sonarcloud a fin de revisar el código fuente, para esto deberás usar Azure DevOps, con una cuenta gratuita tienes 2000 minutos de pipelines totalmente gratis, al terminar deberás notificar a tus jueces para evaluar el resultado.\r\n\r\nNota: Recuerda siempre integrar todas las herramientas con sus secretos.\r\n\r\nRepositorio: https://github.com/lighticorp/lightiblog\r\n\r\nFormato: flag{FLAG}\r\nFormato: flag{respuesta1respuesta2}\r\nEs decir: Si la respuesta1 es hola- y la respuesta dos es bien/ytu?\r\nLa respuesta es flag{hola-bien/ytu}","0","200","MISC","standard","hidden","null",""
"","85","Reto 1 CDP","¿Cuál es la imagen del  IOS que se ejecuta en el switch CCNP-LAB-S1?\n\nFormato: flag{FLAG}\n","0","50","Network PCAP Jungle","standard","hidden","null",""
"","86","Reto 2 CDP","¿Cuál es la VLAN nativa del mismo dispositivo CCNP-LAB-S1 ?\r\n\r\nFormato : flag{VLAN Numero}\r\n","0","50","Network PCAP Jungle","standard","hidden","null",""
"","87","Reto 1 DHCP","¿Cuál es la dirección MAC del cliente que solicita una dirección IPv4?\n\nFormato: flag{FLAG}\n","0","50","Network PCAP Jungle","standard","hidden","null",""
"","88","Reto 2 DHCP","¿Cuál es el nombre de host del cliente?\r\n\r\nFormato : flag{FLAG}\r\n","0","50","Network PCAP Jungle","standard","hidden","null",""
"","89","Reto 3 DHCP","¿Qué dirección IPv4 solicitó?\n\nFormato : flag{FLAG}\n","0","50","Network PCAP Jungle","standard","hidden","null",""
"","90","Reto 4 DHCP","¿Qué dirección IPv4 obtuvo realmente?\n\nFormato : flag{FLAG}\n","0","50","Network PCAP Jungle","standard","hidden","null",""
"","91","Reto SYSLOG","¿Qué tipo de log fue enviado por 192.168.121.2 en el primer mensaje de syslog registrado?.\r\n\r\nFormato: flag{}\r\n","0","50","Network PCAP Jungle","standard","hidden","null",""
"","92","Reto 1 TFTP","Se realizó la copia del archivo de configuración de un dispositivo a un servidor TFTP. ¿Indique el nombre del usuario que se encuentra en el archivo de configuración?\n\nFormato: flag{}\n","0","50","Network PCAP Jungle","standard","hidden","null",""
"","93","Reto 2 TFTP","Se realizó la copia del archivo de configuración de un dispositivo a un servidor TFTP. ¿Indique el hash de la contraseña del usuario que se encuentra en el archivo de configuración?\n\nFormato: flag{}\n","0","50","Network PCAP Jungle","standard","hidden","null",""
"","94","Reto 3 TFTP","Se realizó la copia del archivo de configuración de un dispositivo a un servidor TFTP. ¿Indique el hash de la contraseña de enable que se encuentra en el archivo de configuración?\n\nFormato: flag{}\n","0","50","Network PCAP Jungle","standard","hidden","null",""
"","95","Reto 4 TFTP","Se realizó la copia del archivo de configuración de un dispositivo a un servidor TFTP. ¿Indique la contraseña de enable en texto plano que se encuentra en el archivo de configuración?\n\nFormato: flag{}\n","0","50","Network PCAP Jungle","standard","hidden","null",""
"","96","Reto 5 TFTP","Se realizó la copia del archivo de configuración de un dispositivo a un servidor TFTP. ¿Indique la contraseña del usuario en texto plano que se encuentra en el archivo de configuración?\n\nFormato: flag{}\n","0","50","Network PCAP Jungle","standard","hidden","null",""
"","97","Reto SNMP","¿Cuál es el nombre de la comunidad snmp ?\n\nFormato: flag{}\n","0","50","Network PCAP Jungle","standard","hidden","null",""
"","98","Reto 1 VTP","¿Cuál es el nombre del dominio vtp?\n\nFormato: flag{}\n","0","50","Network PCAP Jungle","standard","hidden","null",""
"","99","Reto 2 VTP","¿Cuál es el nombre del dominio vtp?\n\nFormato: flag{FLAG}\n","0","50","Network PCAP Jungle","standard","hidden","null",""
"","100","Reto 3 VTP","¿Cuáles el número de la última configuración de revisión?\n\nFormato: flag{}\n","0","50","Network PCAP Jungle","standard","hidden","null",""
"","101","Reto 1 DNS","¿Cuál es la dirección IPv6 del servidor DNS?\n\nFormato: flag{}\n","0","50","Network PCAP Jungle","standard","hidden","null",""
"","102","Reto 2 DNS","¿Qué dominio resolvió?\n\nFormato: flag{}\n","0","50","Network PCAP Jungle","standard","hidden","null",""
"","103","Reto SSH","¿Cuál es la versión del protocolo del cliente en la sesión SSH?\n\nFormato: flag{}\n","0","50","Network PCAP Jungle","standard","hidden","null",""
"","104","Reto LLDP","¿Cuál es el la dirección IPV6 de administración de CCNP-LAB-S1?\n\nFormato: flag{}\n","0","50","Network PCAP Jungle","standard","hidden","null",""
"","105","Quiero Llorar 1","Los ingenieros del departamento de sistemas han perdido el control, les ha llegado un regalito pero no encuentran la llave para abrirlo..\r\nLink: https://nc.campeonatociberseguridad.ec:44301/index.php/s/w86i8Cn2TgkFA54\r\n\r\nFormato: flag{FLAG}\r\n","0","350","Quiero llorar :( .. recuperemos el estado!!","standard","hidden","null",""
"","106","Quiero Llorar 2","El reporte indica que existe un hash identificado en la aplicación desarrollada, necesitamos buscar el código para entregar a los developers.\n\nFormato: flag{}\n","0","350","Quiero llorar :( .. recuperemos el estado!!","standard","hidden","null",""
"","107","Quiero Llorar 3","Demuestra el proceso para recuperarse del incidente.\n\nFormato: flag{}\n","0","350","Quiero llorar :( .. recuperemos el estado!!","manual_verification","hidden","","106"
"","108","Reto Uno","""Cuul es el tipo de sistema de archivos que tiene el dispositivo ""\r\n\r\nArchivo: https://nc.campeonatociberseguridad.ec:44301/index.php/s/dCAdZmDBbZxiZiZ\r\n\r\nFormato: flag{FLAG}\r\n","0","150","Catch me if you can","standard","hidden","null",""
"","109","Reto Dos","""Cual es el numero exacto de sectores de inicio y fin del dispositivo ""\r\n\r\nFormato: flag{SectorInicial-SectorFinal}\r\n","0","200","Catch me if you can","standard","hidden","null",""
"","110","Reto Tres","""Cuanta es la capacidad que tenia el dispositivo ""\r\n\r\nFormato: flag{FLAG}\r\nDebe ser en Mb","0","50","Catch me if you can","standard","hidden","null",""
"","111","Reto Cuatro","""Encontrar la clave de facebook del dueno del dispositivo que se encuentra en uno de los archivos del mismo ""\n\nFormato: flag{FLAG}\n","0","250","Catch me if you can","standard","hidden","null",""
"","112","Reto Cinco","""Indicar en que inodo se encuentra el archivo con la clave de facebook ""\n\nFormato: flag{FLAG}\n","0","250","Catch me if you can","standard","hidden","null",""
"","113","Reto Seis","""Cual es el nombre del archivo que contiene la clave de facebook? ""\n\nFormato: flag{FLAG}\n","0","300","Catch me if you can","standard","hidden","null",""
"","114","Reto Siete","""Cual es el firma digital SHA256 del archivo que contiene la clave de facebook? ""\n\nFormato: flag{FLAG}\n","0","350","Catch me if you can","standard","hidden","null",""
"","115","Reto Ocho","""Cual es el inodo correspondiente al archivo contenedor de correos electronicos con extension propietaria de la empresa Microsoft ""\n\nFormato: flag{FLAG}\n","0","200","Catch me if you can","standard","hidden","null",""
"","116","Reto Nueve","""Dentro del archivo de correos electronicos anterior, buscar en cuantos archivos se encuentra registrada la direccion IP PUBLICA 69.54.5.228 ""\n\nFormato: flag{FLAG}\n","0","350","Catch me if you can","standard","hidden","null",""
"","117","Reto Diez","""Tomando en cuenta la respuesta anterior, como se llaman los archivos .eml donde se encuentra registrada la IP PUBLICA 69.54.5.228 ""\r\n\r\nFormato: flag{archivo.ext archivo.ext ... archivo.ext}\r\nó\r\n flag{archivo.ext}\r\n\r\nPara evitar confusiones hemos actualizado el reto 10. Se lo dividió en 4. Así van ingresando archivo por archivo y si ya tienen los 4 archivos pues ganarán 150 puntos fácilmente. Si responden correctamente el primero aparecerá el segundo y así sucesivamente.\r\n","0","350","Catch me if you can","standard","hidden","null",""
"","118","Reto Once","""Tomando en cuenta su respuesta del punto anterior, seleccione el archivo que termina con el numero 5 e indique el/la remitente del correo (nombre y direccion de correo electronico) ""\r\n\r\nFormato: flag{nombre-direccionCorreoElectronico}\r\n","0","400","Catch me if you can","standard","hidden","null",""
"","119","Reto Doce","""De el mismo archivo, indique el/la destinatario/a del correo (nombre y direccion de correo electronico) ""\r\n\r\nFormato: flag{nombre-direccionCorreoElectronico}\r\n","0","450","Catch me if you can","standard","hidden","null",""
"","120","Reto Trece","""Del mismo archivo, indique la fecha completa del envio del correo incluyendo el dia, fecha, hora ""\r\n\r\nNota: formato de dia de la semana y mes es abreviado y en ingles.\r\nFormato: flag{DAYOFWEEK,DAY MONTH YEAR HH:MM:SS}\r\n","0","400","Catch me if you can","standard","hidden","null",""
"","121","Van Halen","01 - El primer host es el mas fácil, escanea la IP 192.168.70.20.\n\nFormato: flag{FLAG}\n","0","50","Seek & Exploit","standard","hidden","null",""
"","122","Ozzy","W00t-W00t, nuevo segmento a escanear 172.40.100.x/24 - Ozzy tiene '1000' razones para ser escuchado.\n\nFormato: flag{}\n","0","100","Seek & Exploit","standard","hidden","","121"
"","123","AC/DC","W00t-W00t, nuevo segmento a escanear 172.40.100.x/24 - AC/DC web host.\n\nFormato: flag{}\n","0","100","Seek & Exploit","standard","hidden","","121"
"","124","Megadeth","W00t-W00t, nuevo segmento a escanear 172.40.100.x/24 - Nuevo Pivote.\n\nFormato: flag{}\n","0","250","Seek & Exploit","standard","hidden","","121"
"","125","Heart","W00t-W00t, nuevo segmento a escanear 10.100.100.x/24 - HEART es uno de los grupos mas importantes de la historia.\n\nFormato: flag{}\n","0","300","Seek & Exploit","standard","hidden","","124"
"","126","Pink Floyd","W00t-W00t, nuevo segmento a escanear 10.121.20.x/24 - Nuevo Pivote, sigue escanenado que falta poco.\n\nFormato: flag{}\n","0","400","Seek & Exploit","standard","hidden","","124"
"","127","KISS","W00t-W00t, nuevo segmento a escanear 192.168.3.x/24 - Final del Cybersecurity Tour 2020, Si has llegado hasta aqui revisa el sitio web de KISS!!.\n\nFormato: flag{FLAG}\n","0","500","Seek & Exploit","standard","hidden","","126"
"","128","Flecha 1.0","Obten tu primer acceso al servidor.\r\nIdentifica la puerta de acceso al servidor para ejecutar comandos.\r\n\r\nUrl: http://192.168.40.10:8080\r\nFormato: flag{FLAG}\r\n","0","300","SigueLaFlechaEC","standard","hidden","null",""
"","129","Flecha 2.0","Acceso al usuario de aplicacion.\nTrata de identificar las credenciales del usuario de la aplicacion web.\n\nFormato: flag{}\n","0","150","SigueLaFlechaEC","standard","hidden","null",""
"","130","Flecha 3.0","Acceso al superusuario.\nAccede a los archivos del superusuario del sistema operativo.\n\nFormato: flag{}\n","0","300","SigueLaFlechaEC","standard","hidden","null",""
"","131","Flecha 4.0","Destripando la app.\nRevela las credenciales de acceso reversando el aplicativos de finanzas.\n\nFormato: flag{}\n","0","400","SigueLaFlechaEC","standard","hidden","null",""
"","132","Flecha 5.0","Accesando a los Estados Financieros.\nAccede a la base de datos y encuentra los estados financieros.\n\nFormato: flag{}\n","0","300","SigueLaFlechaEC","standard","hidden","null",""
"","133","01 - Malos habitos","Nos han solicitado realizar un pentest a un sitio web, se encuentra publicado en la IP 192.168.70.30. La primera impresión es que los malos habitos de desarrollo siguen presentes aun en el 2020 :(.\n\nFormato: flag{}\n","0","100","Web Pentest","standard","hidden","null",""
"","134","02 - Super Agente 007","En internet puedo ser un Firefox, Chrome, Opera y si estoy demente un IE. Esto en ocasiones abre la posibilidad de ver algunas configuraciones.\n\nFormato: flag{}\n","0","200","Web Pentest","standard","hidden","null",""
"","135","03 - Easy Admin","Si encuentras un nuevo portal de login, OWASP es tu mejor amigo.\n\nFormato: flag{}\n","0","250","Web Pentest","standard","hidden","null",""
"","136","04 - URLs Cortas","Ayuda a Eve, ella toma muy en serio la seguridad de la empresa y siempre abre unicamente links que tengasn URLs o IP internas.\n\nFormato: flag{}\n","0","400","Web Pentest","standard","hidden","null",""
"","137","05 - MFA ","Usuario y clave no es suficiente. MFA !.\n\nFormato: flag{}\n","0","500","Web Pentest","standard","hidden","null",""
"","138","06 - Sin Flags en Stock ","El stock de mis flags esta en 0 !!!.\r\n\r\nFormato: flag{bandera}\r\n","0","500","Web Pentest","standard","hidden","null",""
"","139","Twitter","Auspiciantes Twitter\r\n\r\n\r\nFormato: flag{bandera}","0","50","MISC","standard","hidden","null",""
"","141","Reto Diez 2.0","""Tomando en cuenta la respuesta anterior, como se llaman los archivos .eml donde se encuentra registrada la IP PUBLICA 69.54.5.228 "" Flag 2\r\n\r\nFormato: flag{archivo.ext}\r\n\r\n","0","50","Catch me if you can","standard","hidden","","117"
"","142","Reto Diez 3.0","""Tomando en cuenta la respuesta anterior, como se llaman los archivos .eml donde se encuentra registrada la IP PUBLICA 69.54.5.228 "" Flag 3\r\n\r\nFormato: flag{archivo.ext}","0","50","Catch me if you can","standard","hidden","","141"
"","143","Reto Diez 4.0","""Tomando en cuenta la respuesta anterior, como se llaman los archivos .eml donde se encuentra registrada la IP PUBLICA 69.54.5.228 "" Flag 4\r\n\r\nFormato: flag{archivo.ext}","0","50","Catch me if you can","standard","hidden","","142"
